date,Paper_Num,subject
2022-08,73,hep-lat
2022-09,82,hep-lat
2022-10,97,hep-lat
2022-11,152,hep-lat
2022-12,196,hep-lat
2023-01,90,hep-lat
2023-02,66,hep-lat
2023-03,71,hep-lat
2023-04,76,hep-lat
2023-05,94,hep-lat
2023-06,56,hep-lat
date,Paper_Num,subject
2022-01,1583,cond-mat
2022-02,1632,cond-mat
2022-03,1852,cond-mat
2022-04,1498,cond-mat
2022-05,1658,cond-mat
2022-06,1622,cond-mat
2022-07,1585,cond-mat
2022-08,1634,cond-mat
2022-09,1664,cond-mat
2022-10,1693,cond-mat
2022-11,1677,cond-mat
2022-12,1599,cond-mat
2023-01,1551,cond-mat
2023-02,1575,cond-mat
2023-03,1915,cond-mat
2023-04,1488,cond-mat
2023-05,1856,cond-mat
2023-06,1258,cond-mat
date,Paper_Num,subject
2022-01,3479,math
2022-02,3563,math
2022-03,3995,math
2022-04,3419,math
2022-05,3806,math
2022-06,3859,math
2022-07,3667,math
2022-08,3764,math
2022-09,3834,math
2022-10,4052,math
2022-11,4137,math
2022-12,3727,math
2023-01,3552,math
2023-02,3581,math
2023-03,4330,math
2023-04,3590,math
2023-05,4424,math
2023-06,2839,math
date,Paper_Num,subject
2022-01,147,q-fin
2022-02,166,q-fin
2022-03,140,q-fin
2022-04,119,q-fin
2022-05,142,q-fin
2022-06,165,q-fin
2022-07,139,q-fin
2022-08,127,q-fin
2022-09,168,q-fin
2022-10,150,q-fin
2022-11,149,q-fin
2022-12,164,q-fin
2023-01,147,q-fin
2023-02,151,q-fin
2023-03,182,q-fin
2023-04,141,q-fin
2023-05,183,q-fin
2023-06,125,q-fin
date,Paper_Num,subject
2022-01,143,econ
2022-02,162,econ
2022-03,132,econ
2022-04,128,econ
2022-05,183,econ
2022-06,167,econ
2022-07,115,econ
2022-08,138,econ
2022-09,159,econ
2022-10,136,econ
2022-11,134,econ
2022-12,150,econ
2023-01,159,econ
2023-02,155,econ
2023-03,169,econ
2023-04,155,econ
2023-05,176,econ
2023-06,105,econ
